,target
0,False
1,False
2,False
3,True
4,False
5,True
6,True
7,False
8,False
9,True
10,False
11,False
12,False
13,True
14,False
15,True
16,True
17,True
18,False
19,False
20,False
21,False
22,False
23,False
24,False
25,False
26,True
27,False
28,False
29,False
30,False
31,False
32,False
33,False
34,True
35,True
36,True
37,False
38,False
39,False
40,False
41,False
42,True
43,False
44,True
45,False
46,False
47,False
48,False
49,True
50,False
51,False
52,False
53,False
54,False
55,False
56,False
57,False
58,False
59,True
60,False
61,True
62,False
63,False
64,False
65,False
66,False
67,False
68,False
69,False
70,True
71,True
72,False
73,False
74,True
75,False
76,False
77,True
78,True
79,False
80,False
81,True
82,False
83,True
84,False
85,False
86,False
87,False
88,False
89,True
90,False
91,True
92,True
93,False
94,False
95,False
96,True
97,False
98,True
99,True
100,False
101,False
102,False
103,False
104,True
105,False
106,True
107,False
108,True
109,True
110,True
111,True
112,False
113,False
114,False
115,False
116,True
117,False
118,False
119,False
120,False
121,False
122,False
123,False
124,False
125,True
126,False
127,True
128,False
129,False
130,False
131,False
132,True
133,False
134,False
135,True
136,False
137,True
138,True
139,True
140,False
141,False
142,False
143,True
144,False
145,False
146,True
147,False
148,False
149,True
150,False
151,True
152,False
153,False
154,False
155,True
156,False
157,True
158,False
159,False
160,False
161,True
162,False
163,True
164,False
165,False
166,False
167,True
168,True
169,True
170,False
171,False
172,True
173,False
174,True
175,False
176,False
177,True
178,False
179,False
180,True
181,True
182,True
183,False
184,False
185,True
186,False
187,False
188,False
189,False
190,False
191,True
192,True
193,False
194,True
195,False
196,True
197,False
198,True
199,False
200,False
201,True
202,False
203,True
204,False
205,True
206,False
207,True
208,True
209,False
210,False
211,True
212,False
213,False
214,True
215,True
216,False
217,True
218,False
219,False
220,False
221,True
222,False
223,False
224,False
225,False
226,False
227,True
228,False
229,False
230,False
231,False
232,False
233,False
234,False
235,True
236,False
237,False
238,False
239,True
240,True
241,False
242,False
243,False
244,False
245,True
246,False
247,True
248,False
249,False
250,False
251,False
252,True
253,False
254,False
255,False
256,True
257,False
258,False
